id,Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Number of Articles,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active
1,AltSchool Africa,https://www.crunchbase.com/organization/altschool-bdef,We are democratizing access to quality education for the next billion Africans.,Education,"Kigali, Butare, Rwanda",AltSchool provides training to become junior to mid-level engineers.,44984,,Active,21/10/2021,2,Education,2,"Adewale Yusuf, Sultan Akintunde",30,1,1000000,1000000,,9,9,,,,"15,631","16,695",-5.87%,132,-32.31%,1.29,-18.99%,88.82%,14.27%,1484829,31871,2.19%,59,,,
2,Viebeg,https://www.crunchbase.com/organization/viebeg-technologies,"Our data-driven logistics platform — encompassing shipping, warehousing, last-mile distribution, and inventory management — empowers healthcare facilities to better manage procurement, ensuring that they have the right type and quantities of medical supplies in stock to properly treat patients.","Health Care, Information Technology, Medical Device","Kigali, Butare, Rwanda","VIEBEG, a data-driven procurement platform that makes medical supplies affordable and accessible all over Africa.",59008,,Active,18/04/2018,1,"Health Care, Information Technology",1,Tobias Reiter,30,4,200000,2057000,4,9,4,,,,843,,,0,,1,,100%,,6669686,,,3,,,
3,Ampersand,https://www.crunchbase.com/organization/ampersand-2,"Ampersand catalyzes and power mass-market electric mobility. By supplying the battery swap network and operating system the company makes sustainable mobility rapidly accessible and affordable for developing markets, to improve livelihoods and the environment. With over a million km already covered by e-motorcycles in Africa using our plug-and-play powertrain and energy network.","Automotive, Electric Vehicle, Emerging Markets, Energy, Transportation","Kigali, Butare, Rwanda",Ampersand is the e-mobility energy provider for millions of motorbike taxis.,60804,,Active,01/01/2017,3,"Energy, Other, Transportation",4,"Alp Tilev, Emmanuel Hakizimana, Josh Whale, Olaf Lange",175,12,9000000,14860834,5,10,5,"Finance, Management",3,,,,,,,,,,,,,,19,,,5
4,Fixa,https://www.crunchbase.com/organization/fixa-6952,"Fixa is a full suite marketplace that offers informal workers access to verifiable career identities, stable earnings and social protection","Human Resources, Social Impact, Staffing Agency","Kigali, Butare, Rwanda",Workforce Marketplace,86548,6000000,Active,14/12/2020,1,"Administrative Services, Other",1,Tafara Makaza,5,1,125000,125000,0,0,6,Management,1,,,,,,,,,,,,,,16,5,,
5,Rwanda Mountain Tea,https://www.crunchbase.com/organization/rwanda-mountain-tea,"Rwanda Mountain Tea is involved in tea growing and processing, hydropower generation, and the fabrication of concrete material. They provide tea and tea bags. They specialized in the fabrication and sale of concrete products. They produce concrete pavers, road kerbs, and building blocks, among many other concrete materials.","Building Material, Energy Management, Food Processing","Kigali, Butare, Rwanda","Rwanda Mountain Tea is engaged in growing, processing, and exporting tea and tea bags.",93672,75000000,Active,,,"Energy, Food and Beverage, Real Estate",,,30,2,3870905,6462322,1,1,1,,,,,,,,,,,,,,,,16,,,
6,Bongalo,https://www.crunchbase.com/organization/bongalo,"Bongalo provides the simplest and most dependable accommodation solution for visitors, travelers, and business people. Bongalo is an African travel accommodation digital marketplace. Bongalo can book short-term rooms in flats as well as complete apartments. They inspect properties to ensure their validity and integrity. On Bongalo, customers may find the finest and most elegant residences at reasonable prices. They are passionate about assisting tourists in finding their ideal lodging through the use of technology. They would love to have you join their team.","Hospitality, Information Technology, Mobile Apps, Tourism, Travel, Travel Accommodations, Vacation Rental","Kigali, Butare, Rwanda","Bongalo provides accommodation solutions for visitors, travelers, and business people.",94123,,Active,17/06/2017,6,"Apps, Information Technology, Mobile, Real Estate, Software, Travel and Tourism",2,"Junior Nosouh Tonteh, Minuifuong Nghombombong",5,1,100000,100000,,1,5,,,,"1,574",814,-14.32%,0,-99.43%,1,0%,100%,0%,5544605,176565,3.29%,4,1,19,
7,Water Access Rwanda,https://www.crunchbase.com/organization/water-access-rwanda,"Water Access Rwanda offers water access services for locating groundwater, drilling boreholes, installing solar pumps, installing water filters, and other projects. All living beings are water-dependent, and productive sectors require water, there is no one-size-fits-all solution when it comes to providing water.","Water, Water Purification, Water Transportation","Kigali, Butare, Rwanda",safe tap water from borehole-fed water mini-grids and rain-to-tap water systems.,97485,,Active,14/08/2014,,"Natural Resources, Sustainability, Transportation",1,Christelle Kwizera,75,3,,590000,1,3,11,Sales,1,,,,,,,,,,,,,,,,,
8,BAG Innovation,https://www.crunchbase.com/organization/bag-innovation,"BAG, a gamified digital platform that collaborates with Universities and employers in East Africa to offer real-time access to experience-based learning for University students. Through our platform, we are delivering interactive assessments from employers that build up a skills profile for students to receive personalized career guidance from year 1 of their studies and match the right skills-need upon graduation. The BAG solution analyzes the employers' skills needs and translates them into short assessments, each representing requirements from the employer, on both the technical or soft skill side, that in return tests the user's ability to work with that specific company. Traditionally employers can only take on 2-3 interns per year but with the BAG solution, employers can now with no extra effort transfer work-life experience from their company to thousands of students at the same time. Our Gamification technology is being built by the former CandyCrush creator and this technology helps us increase the retention, conversion, and engagement of the student on a weekly basis. The students earn experience points, upgrades in levels, and has an enjoyable experience while working on their skills development. We use a freemium model to attract large number of users and make our money by offering premium subscription for businesses to affordably source and onboard talents and provide universities with a content platform that integrates with their curriculum and supporting students with premium career development.","EdTech, Education, Gamification, Software","Kigali, Butare, Rwanda",A digital platform that applies Gamification to offer real-time access to experience-based learning for University students in East Africa,98335,,Active,12/05/2017,,"Education, Gaming, Software",2,"Gabriel Ekman, Yussouf Ntwali",5,1,100000,100000,1,1,4,,,,,,,,,,,,,,,,7,,,4
9,CanGo Africa,https://www.crunchbase.com/organization/safemotos,CanGo is an on demand services company with a technology office in Nairobi and current operations in Kinshasa and Kigali.,"Apps, Public Safety, Taxi Service, Transportation","Kigali, Butare, Rwanda",CanGo is an on demand services company with a technology office in Nairobi and current operations in Kinshasa and Kigali.,101039,500000,Closed,01/01/2014,15,"Apps, Government and Military, Software, Transportation",2,"Barrett Nash, Peter Kariuki",30,7,,131000,2,4,5,,,,,,,,,,,,,,,,15,3,,3
10,exuus ltd,https://www.crunchbase.com/organization/exuus,,"Big Data, Communities, Data Mining, Data Visualization, Lifestyle, Non Profit","Kigali, Butare, Rwanda",Exuus is a finTech company that inspire resilience and enable communities to achieve their optimal satisfaction.,101098,6000000,Active,15/07/2014,1,"Community and Lifestyle, Data and Analytics, Design, Information Technology, Other, Software",1,Shema Steve,5,2,100000,150000,2,2,9,,,,854,,,0,,1,,100%,,6603571,,,28,,,10
